time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional
201314,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,1,80,15986,5620,1281,4339,35.15576,8.01326,27.1425,65,81.25,z,z,482,26,0,0,0,0,z,355,418,1281,10,2,4321,6,4339,5620,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,4,176,28632,6221,4036,2185,21.72744,14.09612,7.63132,96,54.54545,z,z,1670,181,10,0,0,66,z,80,2029,4036,0,0,2171,14,2185,6221,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,3,515,92573,32804,16512,16292,35.43582,17.83673,17.59908,408,79.2233,z,z,3707,559,32,14,0,24,z,2761,9415,16512,78,2643,13570,1,16292,32804,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,1,64,10765,2668,1478,1190,24.78402,13.72968,11.05434,43,67.1875,z,z,695,184,0,0,0,0,z,100,499,1478,48,7,1134,1,1190,2668,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,4,468,76461,22238,6471,15767,29.08411,8.46314,20.62097,280,59.82906,z,z,2504,435,81,1,18,44,z,579,2809,6471,60,66,10707,4934,15767,22238,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,3,153,21012,5145,2236,2909,24.48601,10.64154,13.84447,89,58.16993,z,z,1079,163,0,0,0,0,z,347,647,2236,14,244,2649,2,2909,5145,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,3,111,20438,8228,2921,5307,40.25834,14.29201,25.96634,90,81.08108,z,z,1029,150,0,7,0,10,z,275,1450,2921,70,39,5061,137,5307,8228,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,2,54,6875,1165,750,415,16.94545,10.90909,6.03636,28,51.85185,z,z,266,67,0,0,0,0,z,33,384,750,0,42,359,14,415,1165,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,5,306,25354,7668,4499,3169,30.24375,17.74473,12.49901,195,63.72549,z,z,1292,161,0,0,0,16,z,285,2745,4499,33,85,3051,0,3169,7668,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,1,46,7304,1096,805,291,15.00548,11.02136,3.98412,16,34.78261,z,z,208,74,0,0,0,0,z,4,519,805,30,20,240,1,291,1096,0,0
