time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,Walsall,335,One on one tuition,21
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Education setting with URN,111
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000008,Croydon,306,Non-maintained further education college,2
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,883,One on one tuition,42
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Non-maintained further education college,11
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,893,Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000027,Somerset,933,Registered provider with UKPRN,6
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,Education setting with URN,152
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Education setting with URN,699
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000031,Waltham Forest,320,Non-maintained further education college,39
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Education setting with URN,268
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Other unregistered provider,19
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,921,Work based placement,18
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Other unregistered provider,89
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,One on one tuition,32
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000016,Havering,311,Registered provider with UKPRN,9
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000012,Hackney,204,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000030,Tower Hamlets,211,Unknown,4
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000005,Brent,304,One on one tuition,16
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Other unregistered provider,28
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,One on one tuition,194
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000027,Richmond upon Thames,318,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Education setting with URN,369
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Education setting with URN,385
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,869,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,876,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,One on one tuition,54
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000059,Dorset,838,Registered provider with UKPRN,90
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Education setting with URN,200
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Registered provider with UKPRN,31
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,893,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,One on one tuition,11
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,876,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Education setting with URN,151
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000022,Lambeth,208,Other unregistered provider,65
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Education setting with URN,444
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000027,Somerset,933,Non-maintained further education college,32
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,815,Education setting with URN,218
