time_period,time_identifier,geographic_level,country_code,country_name,social_care_group,t_pupils,t_no_identified_SEN,pt_no_identified_SEN,t_all_SEN,pt_all_SEN,t_SEN_support,pt_SEN_support,t_statement_or_EHC_plan,pt_statement_or_EHC_plan,t_ASD_ss,pt_ASD_ss,t_HI_ss,pt_HI_ss,t_MLD_ss,pt_MLD_ss,t_MSI_ss,pt_MSI_ss,t_NSA_ss,pt_NSA_ss,t_OTH_ss,pt_OTH_ss,t_PD_ss,pt_PD_ss,t_PMLD_ss,pt_PMLD_ss,t_SEMH_ss,pt_SEMH_ss,t_SLCN_ss,pt_SLCN_ss,t_SLD_ss,pt_SLD_ss,t_SPLD_ss,pt_SPLD_ss,t_VI_ss,pt_VI_ss,t_ASD_se,pt_ASD_se,t_HI_se,pt_HI_se,t_MLD_se,pt_MLD_se,t_MSI_se,pt_MSI_se,t_NSA_se,pt_NSA_se,t_OTH_se,pt_OTH_se,t_PD_se,pt_PD_se,t_PMLD_se,pt_PMLD_se,t_SEMH_se,pt_SEMH_se,t_SLCN_se,pt_SLCN_se,t_SLD_se,pt_SLD_se,t_SPLD_se,pt_SPLD_se,t_VI_se,pt_VI_se
202122,Academic year,National,E92000001,England,All pupils comparison,8418010,7043270,83.7,1374750,16.3,1044300,12.4,330450,3.9,79060,7.6,16700,1.6,197410,18.9,3010,0.3,46100,4.4,44720,4.3,22860,2.2,770,0.1,208920,20,262420,25.1,2430,0.2,150000,14.4,9890,0.9,103430,31.3,6190,1.9,32060,9.7,1100,0.3,0,0,8420,2.5,14020,4.2,10110,3.1,49530,15,57340,17.4,31500,9.5,13030,3.9,3710,1.1
202122,Academic year,National,E92000001,England,CIN at 31 March,220600,113360,51.4,107250,48.6,52720,23.9,54530,24.7,2330,4.4,410,0.8,9510,18,90,0.2,1850,3.5,1680,3.2,780,1.5,70,0.1,21230,40.3,9710,18.4,160,0.3,4560,8.7,350,0.7,13630,25,500,0.9,4150,7.6,160,0.3,0,0,1200,2.2,2620,4.8,3890,7.1,13810,25.3,4700,8.6,8110,14.9,1290,2.4,460,0.8
202122,Academic year,National,E92000001,England,CINO at 31 March,139320,72140,51.8,67180,48.2,29720,21.3,37460,26.9,1690,5.7,270,0.9,5400,18.2,60,0.2,1140,3.8,1000,3.4,550,1.8,60,0.2,10750,36.2,5770,19.4,100,0.3,2750,9.2,200,0.7,11310,30.2,390,1,2330,6.2,140,0.4,0,0,820,2.2,2260,6,3420,9.1,5810,15.5,3060,8.2,6750,18,810,2.2,370,1
202122,Academic year,National,E92000001,England,CPPO at 31 March,29710,18050,60.8,11650,39.2,8640,29.1,3010,10.1,300,3.4,60,0.7,1700,19.7,20,0.2,330,3.8,250,2.9,90,1.1,c,c,3270,37.8,1870,21.6,20,0.3,680,7.9,60,0.7,500,16.6,40,1.3,350,11.5,c,c,0,0,60,2.1,70,2.5,60,2,1150,38.2,430,14.4,230,7.7,100,3.2,10,0.5
202122,Academic year,National,E92000001,England,CLA at 31 March,52310,23470,44.9,28830,55.1,14540,27.8,14300,27.3,350,2.4,90,0.6,2440,16.8,20,0.1,390,2.7,440,3,140,1,10,0.1,7300,50.2,2090,14.4,30,0.2,1150,7.9,90,0.6,1850,13,80,0.5,1510,10.5,20,0.1,0,0,320,2.2,300,2.1,420,2.9,6960,48.7,1230,8.6,1150,8,380,2.7,80,0.6
202122,Academic year,National,E92000001,England,CLA 12 months at 31 March,41940,17890,42.6,24060,57.4,11410,27.2,12650,30.2,260,2.3,70,0.6,1880,16.5,20,0.1,300,2.7,360,3.1,110,1,10,0.1,5840,51.2,1550,13.6,20,0.2,920,8.1,80,0.7,1510,11.9,70,0.5,1350,10.7,20,0.1,0,0,290,2.3,260,2,380,3,6260,49.5,1100,8.7,1010,8,350,2.7,70,0.5
202122,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,10360,5590,53.9,4780,46.1,3130,30.2,1650,15.9,90,3,20,0.6,560,18,c,c,90,2.8,80,2.5,30,0.9,0,0,1470,46.8,550,17.5,c,c,220,7.2,20,0.6,340,20.9,10,0.7,150,9.4,c,c,0,0,30,1.8,40,2.3,40,2.6,710,43.1,130,8,140,8.3,40,2.2,10,0.7
202122,Academic year,National,E92000001,England,CIN at any point,384550,220960,57.5,163600,42.5,89740,23.3,73860,19.2,4320,4.8,770,0.9,16890,18.8,170,0.2,3260,3.6,2920,3.3,1390,1.5,100,0.1,33470,37.3,17560,19.6,220,0.2,8100,9,590,0.7,18520,25.1,750,1,5910,8,210,0.3,0,0,1610,2.2,3340,4.5,4640,6.3,19180,26,7110,9.6,10080,13.6,1870,2.5,620,0.8
202122,Academic year,National,E92000001,England,CINO at any point,266430,157250,59,109190,41,57150,21.4,52040,19.5,3350,5.9,560,1,10920,19.1,120,0.2,2180,3.8,1950,3.4,1050,1.8,80,0.1,19390,33.9,11510,20.1,140,0.3,5520,9.7,380,0.7,15290,29.4,570,1.1,3600,6.9,190,0.4,0,0,1150,2.2,2870,5.5,4030,7.7,9430,18.1,4850,9.3,8280,15.9,1290,2.5,490,0.9
202122,Academic year,National,E92000001,England,CPPO at any point,57610,35550,61.7,22060,38.3,16110,28,5950,10.3,560,3.5,120,0.7,3210,19.9,30,0.2,620,3.9,480,3,190,1.1,10,k,5950,36.9,3540,22,40,0.3,1280,8,90,0.6,1040,17.5,90,1.4,660,11,10,0.1,0,0,120,2,130,2.2,130,2.1,2210,37.1,890,15,470,7.9,170,2.9,40,0.7
