"","Organisation Type","Organisation Name","Date","formattedDate","Therapy","Total waiting list","Waiting >18-52 weeks","Waiting >52 weeks","Percentage waiting more than 18 weeks"
"1",NA,"England","January 2023",2023-01-01,"Audiology",17272,3805,508,24.9710514126911
"2",NA,"England","January 2023",2023-01-01,"Community Paediatric Service",64597,26676,6795,51.8150997724353
"3",NA,"England","January 2023",2023-01-01,"Occupational Therapy",22556,6305,1083,32.754034403263
"4",NA,"England","January 2023",2023-01-01,"Speech And Language",67774,20810,2980,35.1019565024936
"5","Region","East of England","January 2023",2023-01-01,"Audiology",1517,298,0,19.6440342781806
"6","Region","East of England","January 2023",2023-01-01,"Community Paediatric Service",12742,5713,2256,62.5412023230262
"7","Region","East of England","January 2023",2023-01-01,"Occupational Therapy",1451,349,19,25.3618194348725
"8","Region","East of England","January 2023",2023-01-01,"Speech And Language",6117,1936,151,34.1180317148929
"9","Region","London","January 2023",2023-01-01,"Audiology",3772,1081,89,31.0180275715801
"10","Region","London","January 2023",2023-01-01,"Community Paediatric Service",11611,4263,802,43.6224270088709
"11","Region","London","January 2023",2023-01-01,"Occupational Therapy",3554,1053,49,31.007315700619
"12","Region","London","January 2023",2023-01-01,"Speech And Language",7537,1894,172,27.4114369112379
"13","Region","Midlands","January 2023",2023-01-01,"Audiology",2789,610,275,31.7318035138042
"14","Region","Midlands","January 2023",2023-01-01,"Community Paediatric Service",14770,6128,1143,49.2281651997292
"15","Region","Midlands","January 2023",2023-01-01,"Occupational Therapy",1695,310,75,22.7138643067847
"16","Region","Midlands","January 2023",2023-01-01,"Speech And Language",12474,3176,126,26.4710598043931
"17","Region","North East and Yorkshire","January 2023",2023-01-01,"Audiology",2396,72,5,3.21368948247078
"18","Region","North East and Yorkshire","January 2023",2023-01-01,"Community Paediatric Service",2460,1028,0,41.7886178861789
"19","Region","North East and Yorkshire","January 2023",2023-01-01,"Occupational Therapy",3039,391,444,27.4761434682461
"20","Region","North East and Yorkshire","January 2023",2023-01-01,"Speech And Language",12362,3803,566,35.3421776411584
"21","Region","North West","January 2023",2023-01-01,"Audiology",4972,1740,139,37.7916331456154
"22","Region","North West","January 2023",2023-01-01,"Community Paediatric Service",8059,3382,26,42.288125077553
"23","Region","North West","January 2023",2023-01-01,"Occupational Therapy",7058,2431,117,36.1008784358175
"24","Region","North West","January 2023",2023-01-01,"Speech And Language",14517,5258,856,42.1161396982848
"25","Region","South East","January 2023",2023-01-01,"Audiology",1145,2,0,0.174672489082969
"26","Region","South East","January 2023",2023-01-01,"Community Paediatric Service",10439,4250,1657,56.5858798735511
"27","Region","South East","January 2023",2023-01-01,"Occupational Therapy",3688,1041,366,38.1507592190889
"28","Region","South East","January 2023",2023-01-01,"Speech And Language",7297,2050,90,29.3271207345484
"29","Region","South West","January 2023",2023-01-01,"Audiology",681,2,0,0.293685756240822
"30","Region","South West","January 2023",2023-01-01,"Community Paediatric Service",4516,1912,911,62.511071744907
"31","Region","South West","January 2023",2023-01-01,"Occupational Therapy",2071,730,13,35.8763882182521
"32","Region","South West","January 2023",2023-01-01,"Speech And Language",7470,2693,1019,49.6921017402945
"33","ICB","Bath and North East Somerset, Swindon and Wiltshire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"34","ICB","Bath and North East Somerset, Swindon and Wiltshire","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"35","ICB","Bath and North East Somerset, Swindon and Wiltshire","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"36","ICB","Bath and North East Somerset, Swindon and Wiltshire","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"37","ICB","Bedfordshire, Luton and Milton Keynes","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"38","ICB","Bedfordshire, Luton and Milton Keynes","January 2023",2023-01-01,"Community Paediatric Service",49,1,0,2.04081632653061
"39","ICB","Bedfordshire, Luton and Milton Keynes","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"40","ICB","Bedfordshire, Luton and Milton Keynes","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"41","ICB","Birmingham and Solihull","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"42","ICB","Birmingham and Solihull","January 2023",2023-01-01,"Community Paediatric Service",4373,2054,148,50.3544477475417
"43","ICB","Birmingham and Solihull","January 2023",2023-01-01,"Occupational Therapy",340,22,0,6.47058823529412
"44","ICB","Birmingham and Solihull","January 2023",2023-01-01,"Speech And Language",2693,576,33,22.6141849238767
"45","ICB","Black Country","January 2023",2023-01-01,"Audiology",893,295,114,45.8006718924972
"46","ICB","Black Country","January 2023",2023-01-01,"Community Paediatric Service",1109,547,0,49.3237150586114
"47","ICB","Black Country","January 2023",2023-01-01,"Occupational Therapy",72,0,0,0
"48","ICB","Black Country","January 2023",2023-01-01,"Speech And Language",1417,605,24,44.3895553987297
"49","ICB","Bristol, North Somerset and South Gloucestershire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"50","ICB","Bristol, North Somerset and South Gloucestershire","January 2023",2023-01-01,"Community Paediatric Service",2657,1039,515,58.4870154309371
"51","ICB","Bristol, North Somerset and South Gloucestershire","January 2023",2023-01-01,"Occupational Therapy",366,110,1,30.327868852459
"52","ICB","Bristol, North Somerset and South Gloucestershire","January 2023",2023-01-01,"Speech And Language",765,221,46,34.9019607843137
"53","ICB","Buckinghamshire, Oxfordshire and Berkshire West","January 2023",2023-01-01,"Audiology",300,0,0,0
"54","ICB","Buckinghamshire, Oxfordshire and Berkshire West","January 2023",2023-01-01,"Community Paediatric Service",1810,638,399,57.292817679558
"55","ICB","Buckinghamshire, Oxfordshire and Berkshire West","January 2023",2023-01-01,"Occupational Therapy",1441,649,271,63.8445523941707
"56","ICB","Buckinghamshire, Oxfordshire and Berkshire West","January 2023",2023-01-01,"Speech And Language",1494,494,23,34.6050870147256
"57","ICB","Cambridgeshire and Peterborough","January 2023",2023-01-01,"Audiology",1146,296,0,25.8289703315881
"58","ICB","Cambridgeshire and Peterborough","January 2023",2023-01-01,"Community Paediatric Service",4025,1806,816,65.1428571428571
"59","ICB","Cambridgeshire and Peterborough","January 2023",2023-01-01,"Occupational Therapy",288,38,0,13.1944444444444
"60","ICB","Cambridgeshire and Peterborough","January 2023",2023-01-01,"Speech And Language",3296,1404,141,46.875
